Hostname                                  Interface     Status   Description                             Optics              Serial
BORM-IPB-P-RT-01_a.txt                    |xe-0/0/0      |Down     |NONE                                    |X                   |X
BORM-IPB-P-RT-01_a.txt                    |xe-0/0/1      |Up       |BORM-IPB_CORE-RT-01-10GE8/0/4           |SFP+-10G-LR         |J7K2007910
BORM-IPB-P-RT-01_a.txt                    |xe-0/0/2      |Up       |BORM-IPB_CORE-RT-02-10GE8/0/4           |SFP+-10G-LR         |APF22N4
BORM-IPB-P-RT-01_a.txt                    |xe-0/0/3      |Up       |BORM-IPB_CORE-RT-02-10GE8/0/22          |SFP+-10G-LR         |JC22016355
BORM-IPB-P-RT-01_a.txt                    |xe-0/1/0      |Down     |NONE                                    |X                   |X
BORM-IPB-P-RT-01_a.txt                    |xe-0/1/1      |Down     |NONE                                    |X                   |X
BORM-IPB-P-RT-01_a.txt                    |xe-0/1/2      |Down     |NONE                                    |X                   |X
BORM-IPB-P-RT-01_a.txt                    |xe-0/1/3      |Up       |SNSU-IPB_P-RT-01-xe-7/1/2_B11X00940     |SFP+-10G-LR         |JC22015731
BORM-IPB-P-RT-01_a.txt                    |xe-0/2/0      |Down     |NONE                                    |X                   |X
BORM-IPB-P-RT-01_a.txt                    |xe-0/2/1      |Down     |NONE                                    |X                   |X
BORM-IPB-P-RT-01_a.txt                    |xe-0/2/2      |Down     |NONE                                    |X                   |X
BORM-IPB-P-RT-01_a.txt                    |xe-0/2/3      |Down     |NONE                                    |X                   |X
BORM-IPB-P-RT-01_a.txt                    |xe-0/3/0      |Down     |NONE                                    |X                   |X
BORM-IPB-P-RT-01_a.txt                    |xe-0/3/1      |Down     |NONE                                    |X                   |X
BORM-IPB-P-RT-01_a.txt                    |xe-0/3/2      |Down     |NONE                                    |X                   |X
BORM-IPB-P-RT-01_a.txt                    |xe-0/3/3      |Down     |NONE                                    |X                   |X
BORM-IPB-P-RT-01_a.txt                    |xe-1/0/0      |Down     |NONE                                    |XFP-10G-LR          |UKP05Y4
BORM-IPB-P-RT-01_a.txt                    |xe-1/1/0      |Up       |BORM-IPB_PE-RT-03-Te-0/5/0/5            |XFP-10G-SR          |AD1144M00JL
BORM-IPB-P-RT-01_a.txt                    |xe-1/2/0      |Up       |SNSU-IPB_P-RT-03-xe-9/1/2_B11X03344     |XFP-10G-LR          |UKE05U1
BORM-IPB-P-RT-01_a.txt                    |xe-1/3/0      |Up       |BORM-IPB_PE-RT-04-Te0/1/0/11            |XFP-10G-SR          |AD1144M00M1
BORM-IPB-P-RT-01_a.txt                    |xe-2/0/0      |Up       |SNSU-IPB_P-RT-01-xe-4/3/2_B11X03345     |SFP+-10G-LR         |AV90FM4
BORM-IPB-P-RT-01_a.txt                    |xe-2/0/1      |Up       |BORM-IPB_PE-RT-03-Te0/1/0/11            |SFP+-10G-SR         |MVJ15WJ
BORM-IPB-P-RT-01_a.txt                    |xe-2/0/2      |Up       |BORM-IPB_PE-RT-03-Te0/5/0/0             |SFP+-10G-SR         |MVJ15FW
BORM-IPB-P-RT-01_a.txt                    |xe-2/0/3      |Up       |BORM-IPB_PE-RT-03-Te0/1/0/17            |SFP+-10G-SR         |MVJ16G1
BORM-IPB-P-RT-01_a.txt                    |xe-2/1/0      |Up       |SNSU-IPB_P-RT-02-xe-4/2/2_B11X03432     |SFP+-10G-LR         |AV90H0U
BORM-IPB-P-RT-01_a.txt                    |xe-2/1/1      |Up       |BORM-IPB_PE-RT-03-Te-0/4/0/2            |SFP+-10G-SR         |MVJ11R1
BORM-IPB-P-RT-01_a.txt                    |xe-2/1/2      |Up       |BORM-IPB_PE-RT-04-Te-0/4/0/2            |SFP+-10G-SR         |MVJ1J0A
BORM-IPB-P-RT-01_a.txt                    |xe-2/1/3      |Up       |BORM-IPB_PE-RT-03-Te0/5/0/17            |SFP+-10G-SR         |MVJ13ZS
BORM-IPB-P-RT-01_a.txt                    |xe-2/2/0      |Up       |SNSU-IPB_P-RT-01-xe-3/0/1_B24X05578     |SFP+-10G-LR         |AV90H1X
BORM-IPB-P-RT-01_a.txt                    |xe-2/2/1      |Up       |SNSU-IPB_P-RT-02-xe-4/1/2_B24X05580     |SFP+-10G-LR         |AV90J5A
BORM-IPB-P-RT-01_a.txt                    |xe-2/2/2      |Up       |SNSU-IPB_P-RT-03-xe-4/1/2_B24X05582     |SFP+-10G-LR         |AV90HFF
BORM-IPB-P-RT-01_a.txt                    |xe-2/2/3      |Up       |SNSU-IPB_P-RT-04-xe-0/0/0               |SFP+-10G-LR         |AD18255008K
BORM-IPB-P-RT-01_a.txt                    |xe-2/3/0      |Up       |SNSU-IPB_P-RT-04-xe-4/1/2_B24X05584     |SFP+-10G-LR         |AV90HBM
BORM-IPB-P-RT-01_a.txt                    |xe-2/3/1      |Up       |SNSU-IPB_P-RT-01-xe-9/1/1_B24X05613     |SFP+-10G-LR         |AV90JB6
BORM-IPB-P-RT-01_a.txt                    |xe-2/3/2      |Up       |SNSU-IPB_P-RT-02-xe-2/3/0_B24X05615     |SFP+-10G-LR         |AV90J1B
BORM-IPB-P-RT-01_a.txt                    |xe-2/3/3      |Up       |BORM-IPB_CORE-RT-01-10GE8/0/22          |SFP+-10G-LR         |H2D2004285
BORM-IPB-P-RT-01_a.txt                    |xe-3/0/0      |Up       |BORM-IPB_PE-RT-04-Te0/5/0/5             |XFP-10G-SR          |1037P-10001
BORM-IPB-P-RT-01_a.txt                    |xe-3/1/0      |Up       |SNSU-IPB_P-RT-02-xe-9/2/1_B11X01264     |XFP-10G-LR          |UKE0ARR
BORM-IPB-P-RT-01_a.txt                    |xe-3/2/0      |Up       |BORM-IPB_PE-RT-03-Te-0/4/0/1            |XFP-10G-SR          |1043P-10078
BORM-IPB-P-RT-01_a.txt                    |xe-3/3/0      |Up       |BORM-IPB_PE-RT-04-Te-0/4/0/1            |XFP-10G-SR          |26T805000355
BORM-IPB-P-RT-01_a.txt                    |xe-4/0/0      |Up       |SNSU-IPB_P-RT-04-xe-9/0/1_B11X01262     |SFP+-10G-LR         |45T012404622
BORM-IPB-P-RT-01_a.txt                    |xe-4/0/1      |Up       |SNSU-IPB_P-RT-01-Xe-3/3/1               |SFP+-10G-LR         |H2E2004160
BORM-IPB-P-RT-01_a.txt                    |xe-4/0/2      |Up       |SNSU-IPB_P-RT-01-xe-9/2/0               |SFP+-10G-LR         |APS0N7S
BORM-IPB-P-RT-01_a.txt                    |xe-4/0/3      |Up       |BORM-IPB_PE-RT-04-Te0/1/0/17            |SFP+-10G-SR         |ARH0Q7Q
BORM-IPB-P-RT-01_a.txt                    |xe-4/1/0      |Up       |SNSU-IPB_P-RT-03-xe-9/3/1_B11X00765     |SFP+-10G-LR         |APR2U3J
BORM-IPB-P-RT-01_a.txt                    |xe-4/1/1      |Up       |SNSU-IPB_P-RT-02-Xe-3/3/1               |SFP+-10G-LR         |AV90HWR
BORM-IPB-P-RT-01_a.txt                    |xe-4/1/2      |Up       |BORM-IPB_PE-RT-04-Te0/6/0/20            |SFP+-10G-SR         |ARG18J4
BORM-IPB-P-RT-01_a.txt                    |xe-4/1/3      |Up       |BORM-IPB_PE-RT-04-Te0/5/0/17            |SFP+-10G-SR         |ARG1G4J
BORM-IPB-P-RT-01_a.txt                    |xe-4/2/0      |Down     |BORM-IPB-IPTV-PROBE-L2SW-10G_prb        |SFP+-10G-SR         |AQ32FGM
BORM-IPB-P-RT-01_a.txt                    |xe-4/2/1      |Up       |BORM-IPB_PE-RT-03-Te0/2/0/0             |SFP+-10G-SR         |CG22KN0GP
